parent_name,child_name,parent_smiles,child_smiles
isoursodeoxycholic acid,,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CCC12C
k-11777,N-oxide k-11777,CN1CCN(C(=O)NC(Cc2ccccc2)C(=O)NC(C=CS(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,C[N+]1([O-])CCN(C(=O)NC(Cc2ccccc2)C(=O)NC(C=CS(=O)(=O)c2ccccc2)CCc2ccccc2)CC1
kaempferide,4'-OH-galangin,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
kr-60436,O-demethyl-KR-60436,COc1ccc(N2CCc3c2c2cccc(OC(F)(F)F)c2[nH]c3=NCCO)c(C)c1,Cc1cc(O)ccc1N1CCc2c1c1cccc(OC(F)(F)F)c1[nH]c2=NCCO
"2â€(3â€{4â€[2â€(3â€fluorophenyl)ethyl]piperazinâ€1â€yl}propyl)â€5â€(1,2,4â€triazolâ€4â€yl)â€1Hâ€indole",,Fc1cccc(CCN2CCN(CCCc3cc4cc(-n5cnnc5)ccc4[nH]3)CC2)c1,OC(CN1CCN(CCCc2cc3cc(-n4cnnc4)ccc3[nH]2)CC1)c1cccc(F)c1
l-cyclophosphamide,Dechloroethyl cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,O=P1(NCCCl)NCCCO1
l-ifosfamide,3-Dechloroethylifosfamide,O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)NCCCO1
l-trofosfamide,l-ifosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,O=P1(N(CCCl)CCCl)OCCC(O)N1CCCl
laquinimod,"5-chloro-N-ethyl-4-hydroxy-N-(4-hydroxyphenyl)-1-methyl-2-oxo-1,2-dihydroquinoline-3-carboxamide",CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccc(O)cc1
levobupivacaine,,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,Cc1cccc(C)c1NC(=O)C1CCCCN1
licofelone,licofelone M4,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,CC1(C)Cc2c(-c3ccc(O)cc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1
licofelone_M1,,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)OCC3OC(O)C(O)C(O)C3O)n2C1,CC1(CO)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)OCC3OC(O)C(O)C(O)C3O)n2C1
lidocaine,Monoethylglycinexylidide,CCN(CC)CC(=O)Nc1c(C)cccc1C,CCNCC(=O)Nc1c(C)cccc1C
linomide,"4,8-dihydroxy-N,1-dimethyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,CN(C(=O)c1c(O)c2cccc(O)c2n(C)c1=O)c1ccccc1
lisofylline,"lisofylline 4,5-diol",CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(O)C(O)CCCn1c(=O)c2c(ncn2C)n(C)c1=O
loperamide,N-Desmethyloperamide,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CNC(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
loratadine,,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
lornoxicam,5'-Hydroxylornoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,CN1C(C(=O)Nc2ccc(O)cn2)=C(O)c2sc(Cl)cc2S1(=O)=O
losartan,E-3174,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
lovastatin,6'beta-Hydroxylovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CCC(C)C(=O)OC1CC(C)(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
m-xylene,"2,4-Dimethylphenol",Cc1cccc(C)c1,Cc1ccc(O)c(C)c1
maprotiline,desmethylmaprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,NCCCC12CCC(c3ccccc31)c1ccccc12
mefenamic acid,3-hydroxymethyl mefenamic aci,Cc1cccc(Nc2ccccc2C(=O)O)c1C,Cc1c(CO)cccc1Nc1ccccc1C(=O)O
meiqx,N-OH-MeIQX,Cc1cnc2ccc3c([nH]c(=N)n3C)c2n1,Cc1cnc2ccc3c(nc(NO)n3C)c2n1
melatonin,6-Hydroxymelatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O
meloxicam,,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,CN1C(C(=O)Nc2ncc(CO)s2)=C(O)c2ccccc2S1(=O)=O
meperidine,normeperidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,CCOC(=O)C1(c2ccccc2)CCNCC1
methaqualone,hydroxy-methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,Cc1cc(O)ccc1-n1c(C)nc2ccccc2c1=O
methoxsalen,,COc1c2occc2cc2ccc(=O)oc12,COc1c2c(cc3ccc(=O)oc13)C1OC1O2
methyleugenol,1Ã¢â‚¬Ëœ-hydroxylate methyleugenol,C=CCc1ccc(OC)c(OC)c1,C=CC(O)c1ccc(OC)c(OC)c1
metoclopramide,monodeethylmetoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCNCCNC(=O)c1cc(Cl)c(N)cc1OC
midazolam,1'-Hydroxymidazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
mifepristone,Monodemethylated mifepristone,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(NC)cc3)CC21C
minaprine,4-Hydroxyminaprine,Cc1cc(-c2ccccc2)n[nH]c1=NCCN1CCOCC1,Cc1cc(-c2ccc(O)cc2)n[nH]c1=NCCN1CCOCC1
montelukast,montelukast sulfoxide,CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CCC(c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1)[S+]([O-])CC1(CC(=O)O)CC1
morphine,Normorphine,CN1CC2Cc3ccc(O)c4c3C3(C1)C2C=CC(O)C3O4,Oc1ccc2c3c1OC1C(O)C=CC4C(CNCC341)C2
muraglitazar,,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CN(CC(=O)O)C(=O)Oc2ccc(O)cc2)cc1
mycophenolic acid,6-O-desmethyl-MPA (DM-MPA),COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,CC(=CCc1c(O)c(C)c2c(c1O)C(=O)OC2)CCC(=O)O
myristicin,"5-allyl-1-methoxy-2,3-dihydroxybenzene",C=CCc1cc(OC)c2c(c1)OCO2,C=CCc1cc(O)c(O)c(OC)c1
n_ac_dfec,N-Ac-DFEC-SO,CC(=O)NC(CSC(F)(F)C(OCF)C(F)F)C(=O)O,CC(=O)NC(C[S+]([O-])C(F)(F)C(OCF)C(F)F)C(=O)O
n_ac_ffvc,N-Ac-FFVC-SO,CC(=O)NC(CSC(F)=C(OCF)C(F)F)C(=O)O,CC(=O)NC(C[S+]([O-])C(F)=C(OCF)C(F)F)C(=O)O
n_ac_pcbc,N-Ac-PCBC-SO,NC(CSC(Cl)=C(Cl)C(Cl)=C(Cl)Cl)C(=O)O,NC(C[S+]([O-])C(Cl)=C(Cl)C(Cl)=C(Cl)Cl)C(=O)O
n-({4-[(5-bromopyrimidin-2-yl)oxy]-3-methylphenyl}carbamoyl)-2-(dimethylamino)benzamide,mmBPU,Cc1cc(NC(=O)NC(=O)c2ccccc2N(C)C)ccc1Oc1ncc(Br)cn1,CNc1ccccc1C(=O)NC(=O)Nc1ccc(Oc2ncc(Br)cn2)c(C)c1
n-(2-phenylethyl)indomethacin amide,,COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)NCC(O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1
n-nitroso-n-methylaniline (NMPhA),,CN(N=O)c1ccccc1,O=NN(CO)c1ccccc1
n-nitrosodibutylamine,,CCCCN(CCCC)N=O,CCCCN(N=O)C(O)CCC
"n,n-diethyl-n'-(1-ethyl-6-methylergolin-8alpha-yl)sulfamide",,CCN(CC)S(=O)(=O)NC1CC2c3cccc4c3c(cn4CC)CC2N(C)C1,CCNS(=O)(=O)NC1CC2c3cccc4c3c(cn4CC)CC2N(C)C1
"n,n-diethylformamide",,CCN(C=O)CC,CCN(C=O)C(C)O
"n,n-dimethyl-5-methoxytryptamine",Bufotenine,COc1ccc2[nH]cc(CCN(C)C)c2c1,CN(C)CCc1c[nH]c2ccc(O)cc12
nabumetone,4Ã¢â‚¬ÂhydroxyÃ¢â‚¬Â4Ã¢â‚¬Â(6Ã¢â‚¬ÂmethoxynaphthalenÃ¢â‚¬Â2Ã¢â‚¬Âyl)butanÃ¢â‚¬Â2Ã¢â‚¬Âone,COc1ccc2cc(CCC(C)=O)ccc2c1,COc1ccc2cc(C(O)CC(C)=O)ccc2c1
naphthalene,2-Naphthol,c1ccc2ccccc2c1,Oc1ccc2ccccc2c1
naproxen,Desmethylnaproxen ,COc1ccc2cc(C(C)C(=O)O)ccc2c1,CC(C(=O)O)c1ccc2cc(O)ccc2c1
nefazodone,,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,CCc1nn(CCCN2CCN(c3ccc(O)c(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
nevirapine,2-OH-nevirapine,Cc1ccnc2c1N=C(O)c1cccnc1N2C1CC1,Cc1cc(O)nc2c1N=C(O)c1cccnc1N2C1CC1
nicotine,"(S)-Nicotine ÃŽâ€1Ã¢â‚¬Â²,5Ã¢â‚¬Â²-iminium ion",CN1CCCC1c1cccnc1,C[N+]1=CCCC1c1cccnc1
nifedipine,Oxidized nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],COC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1ccccc1[N+](=O)[O-]
nnal,,CN(CCC(O)C(=O)c1cccnc1)N=O,CN(CCC(O)C(=O)c1ccc[n+]([O-])c1)N=O
nordiazepam,OXAZEPAM,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
nortriptyline,E-10-OH-nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CC(O)c2ccccc21
o-xylene,"2,3-Dimethylphenol",Cc1ccccc1C,Cc1ccc(O)cc1C
olanzapine,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1
oleic acid,,CCCCCCCCC=CCCCCCCCC(=O)O,O=C(O)CCCCCCCC=CCCCCCCCCO
olopatadine,N-monodemethylolopatadine,CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21,CNCCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21
onapristone,,CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1,CNc1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1
opc-13448,OPC-13463,COC(=O)c1c(C)nc(C)c(C(=O)OCC=Cc2ccccc2)c1-c1cccc([N+](=O)[O-])c1,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1
org_30659,,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3C(=C)CC21C,C#CC1(O)C=CC2C3C(O)CC4=CC(=O)CCC4C3C(=C)CC21C
oxycodone,oxymorphone,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
p-cresol,4-methyl-hydroquinone,Cc1ccc(O)cc1,Cc1ccc(O)c(O)c1
p-xylene,4-Methylbenzylalcohol,Cc1ccc(C)cc1,Cc1ccc(CO)cc1
palmitic acid,,CCCCCCCCCCCCCCCC(=O)O,CC(O)CCCCCCCCCCCCCC(=O)O
pefloxacin,"pefloxacin, N-desmethyl",CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
pentachlorobenzene,PCP,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
perazine,,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,CN1CCN(CCCN2c3ccccc3[S+]([O-])c3ccccc32)CC1
perphenazine,N-Dealkylated perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,Clc1ccc2c(c1)N(CCCN1CCNCC1)c1ccccc1S2
phenanthrene,,c1ccc2c(c1)ccc1ccccc12,Oc1ccc2c(ccc3ccccc32)c1O
phenformin,,N=C(N)NC(=N)NCCc1ccccc1,N=C(N)NC(=N)NCCc1ccc(O)cc1
phenytoin,3'-HPPH,OC1=NC(c2ccccc2)(c2ccccc2)C(O)=N1,OC1=NC(c2ccccc2)(c2cccc(O)c2)C(O)=N1
pimozide,"1,3- dihydro-1-(4-piperidinyl)-2H-benzimidazol-2-one (DHPBI)",Oc1nc2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Oc1nc2ccccc2n1C1CCNCC1
piroxicam,5'-Hydroxypiroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CN1C(C(=O)Nc2ccc(O)cn2)=C(O)c2ccccc2S1(=O)=O
pradefovir,PMEA,Nc1ncnc2c1ncn2CCOCP1(=O)OCCC(c2cccc(Cl)c2)O1,Nc1ncnc2c1ncn2CCOCP(=O)(O)O
pregnenolone,,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(=O)C1C(O)CC2C3CC=C4CC(O)CCC4(C)C3CCC21C
promazine,Promazine 5-sulfoxide,CN(C)CCCN1c2ccccc2Sc2ccccc21,CN(C)CCCN1c2ccccc2[S+]([O-])c2ccccc21
propofol,4-OH-propofol,CC(C)c1cccc(C(C)C)c1O,CC(C)c1cc(O)cc(C(C)C)c1O
psoralen,,O=c1ccc2cc3ccoc3cc2o1,O=c1ccc2cc3c(cc2o1)OC1OC31
pyrazoloacridine,N-DEMETHYL Pyrazoloacridine,COc1ccc2c(c1)-c1nn(CCCN(C)C)c3ccc([N+](=O)[O-])c(c13)N2,CNCCCn1nc2c3c(c([N+](=O)[O-])ccc31)Nc1ccc(OC)cc1-2
Stearic Acid,,CCCCCCCCCCCCCCCCCC(=O)O,CC(O)CCCCCCCCCCCCCCCC(=O)O
quazepam,2-Oxoquazepam,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F
quinidine,3-Hydroxyquinidine,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
quinoline,"Q-8,6-epoxide",c1ccc2ncccc2c1,C1=CC2OC2c2cccnc21
qun,,CCN(CC)CCCC(C)N=c1c2ccc(Cl)cc2[nH]c2ccc(OC)cc12,CCNCCCC(C)N=c1c2ccc(Cl)cc2[nH]c2ccc(OC)cc12
(R)-mianserin,"(R)-mianserin, N-Desmethyl",CN1CCN2c3ccccc3Cc3ccccc3C2C1,c1ccc2c(c1)Cc1ccccc1N1CCNCC21
raloxifene,,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2c(O)c(O)ccc12
ranitidine,Desmethylranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CNCc1ccc(CSCCNC(=C[N+](=O)[O-])NC)o1
reboxetine,O-desethylreboxetine,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,Oc1ccccc1OC(c1ccccc1)C1CNCCO1
reduced_dolasetron,Dolasetron N-oxide,O=C(OC1CC2CC3CC(C1)N2CC3O)c1c[nH]c2ccccc12,O=C(OC1CC2CC3CC(C1)[N+]2([O-])CC3O)c1c[nH]c2ccccc12
retinol,All-trans-retinal,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O
riddelliine,riddelliine N-Oxide,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23,C=C1CC(=CC)C(=O)OC2CC[N+]3([O-])CC=C(COC(=O)C1(O)CO)C23
riluzole,4-OH-riluzole,N=c1[nH]c2ccc(OC(F)(F)F)cc2s1,N=c1[nH]c2c(O)cc(OC(F)(F)F)cc2s1
risperidone,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2
ropinirole,,CCCN(CCC)CCc1cccc2c1CC(O)=N2,CCCNCCc1cccc2c1CC(O)=N2
ruboxistaurin,N-desmethyl LY333531,CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)N=C2O)c2cn(c3ccccc23)CCO1,CNCC1CCn2cc(c3ccccc32)C2=C(C(=O)N=C2O)c2cn(c3ccccc23)CCO1
s-methyl diethylthiocarbamate,MeDTC sulfoxide,CCN(CC)C(=O)SC,CCN(CC)C(=O)[S+](C)[O-]
s-metolachlor,,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,CCc1cccc(C)c1N(C(=O)CCl)C(C)CO
salicylic acid,5-hydroxylation,O=C(O)c1ccccc1O,O=C(O)c1cc(O)ccc1O
salmeterol,,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,OCc1cc(C(O)CNCCCCCCOCCCC(O)c2ccccc2)ccc1O
schembl12998564,py74-M1,COc1cc([N+](=O)[O-])ccc1NN=C(C(C)=O)C(=O)Nc1ccccc1OC,COc1cc([N+](=O)[O-])ccc1NN=C(C(C)=O)C(=O)Nc1ccc(O)cc1OC
schembl14141926,,COC(=O)C(c1ccccc1Cl)N1CCC2=C(CC(=O)S2)C1,COC(=O)C(c1ccccc1Cl)N1CCC(S)=C(CC=O)C1
schembl14329530,,CCCCCCOc1ccc2ccc(=O)oc2c1,CCCC(O)CCOc1ccc2ccc(=O)oc2c1
schembl149458,Sulphoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
schembl17043265,HO-MPBP,CCC(C(=O)c1ccc(C)cc1)N1CCCC1,CCC(C(=O)c1ccc(CO)cc1)N1CCCC1
schembl237672,"AMHC (3-[2-(N,N-diethyl-Nmethylammonium)ethyl]-7-hydroxy-4-methylcoumarin)",CC[N+](C)(CC)CCc1c(C)c2ccc(OC)cc2oc1=O,CC[N+](C)(CC)CCc1c(O)oc2cc(=O)ccc-2c1C
schembl29464,Oxazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
schembl3207291,,CNC1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)CC1OC,COC1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)CC1N
schembl4023988,hydroxy-KR-31543,COC(OC)C1(C)Oc2ccc(N)cc2C(N(Cc2nnn(C)n2)c2ccc(Cl)cc2)C1O,Cn1nnc(CNc2ccc(Cl)cc2)n1
schembl4081913,,CNC(=O)Cc1ccc2ccn(C3CCN(CCc4ccccc4F)CC3)c2c1,CNC(=O)Cc1ccc2ccn(C3CCN(C(O)Cc4ccccc4F)CC3)c2c1
schembl69463,DA-8164,CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,CCCOc1ccc(S(N)(=O)=O)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1
schembl7562446,,CC(C)(C)c1cc(CC2SCN=C2O)cc(C(C)(C)C)c1O,CC(C)(C)c1cc(CC2C(O)=NC[S+]2[O-])cc(C(C)(C)C)c1O
schembl7750160,,CN(C)CCCCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,C[N+](C)([O-])CCCCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
schembl895799,ABT-438 Hydroxy,CC(C#Cc1ccc(Cc2ccccc2)s1)NC(N)=O,CC(C#Cc1ccc(C(O)c2ccccc2)s1)NC(N)=O
schembl896413,M28,COc1cc(CC2SC(=O)N=C2O)ccc1C(=O)NCc1ccc(C(F)(F)F)cc1,O=C1N=C(O)C(O)(Cc2ccc(C(=O)NCc3ccc(C(F)(F)F)cc3)c(O)c2)S1
schembl9652240,,CC1SC(c2cccnc2)N(C)C1=O,CC1C(=O)N(C)C(c2cccnc2)[S+]1[O-]
selegiline,Desmethylselegiline,C#CCN(C)C(C)Cc1ccccc1,C#CCNC(C)Cc1ccccc1
senecionine,"(Ã‚Â± )-6,7-dmydn>7-hydroxy-l-hydroxymethyl-5J/-pyrrolizine (DHP)",CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23,CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23O
serotonin,,NCCc1c[nH]c2ccc(O)cc12,CCc1c[nH]c2ccc(O)cc12
sertindole,,OC1=NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,OC1=NC(O)CN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
sertraline,N-desmethylsertraline,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,NC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
sildenafil,N-Desmethyl sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,CCCc1nn(C)c2c(=O)[nH]c(-c3cc([SH](=O)=O)ccc3OCC)nc12
simvastatin,6'-ÃŽÂ²-Hydroxysimvastatin ,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CCC(C)(C)C(=O)OC1CC(C)(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
sparteine,,C1CCN2CC3CC(CN4CCCCC34)C2C1,OC12CCCCN1CC1CC2CN2CCCCC12
sulfadiazine,,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,O=S(=O)(Nc1ncccn1)c1ccc(NO)cc1
sulfamethoxazole,Sulfamethoxazole N4-hydroxylamine,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,Cc1cc(NS(=O)(=O)c2ccc(NO)cc2)no1
tamarixetin,QUERCETIN,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
tamoxifen,N-Desmethyltamoxifen,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CCC(=C(c1ccccc1)c1ccc(OCCNC)cc1)c1ccccc1
tamsulosin,,CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,CCOc1ccc(O)cc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1
tangeretin,,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,COc1c(OC)c(OC)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC
tauromustine,,CN(C)S(=O)(=O)CCNC(=O)N(CCCl)N=O,CNS(=O)(=O)CCNC(=O)N(CCCl)N=O
tecalcet,,COc1cccc(C(C)NCCCc2ccccc2Cl)c1,CC(NCCCc1ccccc1Cl)c1cccc(O)c1
tegaserod,,CCCCCNC(=N)NN=Cc1c[nH]c2ccc(OC)cc12,CCCCCNC(=N)NN=Cc1c[nH]c2ccc(O)cc12
teniposide,Teniposide catechol ,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O
tenoxicam,5'-Hydroxytenoxicam,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,CN1C(=C(O)Nc2ccc(O)cn2)C(=O)c2sccc2S1(=O)=O
terbinafine,N-Desmethylterbinafine,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,CC(C)(C)C#CC=CCNCc1cccc2ccccc12
terbuthylazine,,CCN=c1nc(Cl)nc(NC(C)(C)C)[nH]1,CC(O)N=c1nc(Cl)nc(NC(C)(C)C)[nH]1
territrem a,,COc1cc(-c2cc3c(c(=O)o2)CC2(O)C(C)(CCC4(O)C(C)(C)C=CC(=O)C42C)O3)cc2c1OCO2,COc1cc(-c2cc3c(c(=O)o2)CC2(O)C(C)(CCC4(O)C(C)(CO)C=CC(=O)C42C)O3)cc2c1OCO2
tert-amyl methyl ether,tert-amyl alcohol,CCC(C)(C)OC,CCC(C)(C)O
tert-butyl ethyl ether (ETBE),Tert-butanol,CCOC(C)(C)C,CC(C)(C)O
testosterone,6ÃŽÂ²Hydroxytestosterone ,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC(=O)C=C1C(O)CC1C2CCC2(C)C(O)CCC12
tetradecanoic acid,,CCCCCCCCCCCCCC(=O)O,CC(O)CCCCCCCCCCCC(=O)O
tetranor-(+)-s-145,,O=C(O)CCC1C2CCC(C2)C1NS(=O)(=O)c1ccccc1,O=C(O)CCC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1
theobromine,,Cn1cnc2c1c(O)nc(=O)n2C,Cn1cnc2nc(O)nc(O)c21
theophylline,"1,3-Dimethyluric acid",Cn1c(=O)c2nc[nH]c2n(C)c1=O,Cn1c(=O)c2nc(O)[nH]c2n(C)c1=O
