parent_name,parent_smiles,child_name,child_smiles,origin
warfarin-r,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,6-Hydroxywarfarin,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccc(O)cc2c1=O,warfarin-r
warfarin-r,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,8-Hydroxywarfarin,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2c(O)cccc2c1=O,warfarin-r
warfarin-r,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,#NAME?,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2cc(O)ccc2c1=O,warfarin-r
warfarin-r,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,4'- Hydroxywarfarin,CC(=O)C[C@H](c1ccc(O)cc1)c1c(O)oc2ccccc2c1=O,warfarin-r
warfarin-s,CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,7-Hydroxywarfarin,CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2cc(O)ccc2c1=O,warfarin-s
warfarin-s,CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,4'-Hydroxywarfarin,CC(=O)C[C@@H](c1ccc(O)cc1)c1c(O)oc2ccccc2c1=O,warfarin-s
warfarin-s,CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,6-Hydroxylation,CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccc(O)cc2c1=O,warfarin-s
warfarin-s,CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,10-Hydroxylation,CC(=O)C(O)[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,warfarin-s
7-Ethoxy-4-trifluoromethylcoumarin,CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,7-Hydroxy-4-trifluoromethylcourmarin,O=c1cc(C(F)(F)F)c2ccc(O)cc2o1,7-Ethoxy-4-trifluoromethylcoumarin
7-methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,7-Hydroxy-4-(trifluoromethyl)chromen-2-one,O=c1cc(C(F)(F)F)c2ccc(O)cc2o1,7-methoxy-4-trifluoromethylcoumarin
7-Benzyloxyresorufin,O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,Resorufin,O=c1ccc2nc3ccc(O)cc3oc-2c1,7-Benzyloxyresorufin
"Dibenz[a,j]acridine",c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,,ON1c2ccc3ccccc3c2C=C2c3ccccc3C=CC21,"Dibenz[a,j]acridine"
"Dibenz[a,j]acridine",c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,,O=C1c2c(ccc3ccccc23)N=C2C=Cc3ccccc3C12,"Dibenz[a,j]acridine"
"Dibenz[a,j]acridine",c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,"3,4-DHD",Oc1ccc2c(ccc3nc4ccc5ccccc5c4cc32)c1O,"Dibenz[a,j]acridine"
"Dibenz[a,j]acridine",c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,"1,2-DHD",Oc1ccc2ccc3nc4ccc5ccccc5c4cc3c2c1O,"Dibenz[a,j]acridine"
"Dibenz[a,j]acridine",c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,"5,6-DHD",Oc1c(O)c2nc3ccc4ccccc4c3cc2c2ccccc12,"Dibenz[a,j]acridine"
"Methyl N,N-diethyldithiocarbamate",CCN(CC)C(=S)SC,MeDDC sulfine ,CCN(CC)C(SC)=S=O,"Methyl N,N-diethyldithiocarbamate"
"7,12 Dimethylbenzanthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,,Cc1c2ccccc2c(C)c2c1c(O)c(O)c1ccccc12,"7,12 Dimethylbenzanthracene"
"7,12 Dimethylbenzanthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,,Cc1c2ccc3ccccc3c2c(C)c2ccc(O)c(O)c12,"7,12 Dimethylbenzanthracene"
"7,12 Dimethylbenzanthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,,Cc1c2ccccc2c(C)c2c1ccc1c(O)c(O)ccc12,"7,12 Dimethylbenzanthracene"
"7,12 Dimethylbenzanthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,,Cc1c2ccccc2c(C)c2c1ccc1ccc(O)cc12,"7,12 Dimethylbenzanthracene"
"7,12 Dimethylbenzanthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,,Cc1c2ccccc2c(CO)c2ccc3ccccc3c12,"7,12 Dimethylbenzanthracene"
"7,12 Dimethylbenzanthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,,Cc1c2ccccc2c(CO)c2c1ccc1ccccc12,"7,12 Dimethylbenzanthracene"
DMXAA,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,6-Hydroxy-MXAA,Cc1c(CO)ccc2c(=O)c3cccc(CC(=O)O)c3oc12,DMXAA
4-(Aminomethyl)-7-methoxycoumarin,COc1ccc2c(CN)cc(=O)oc2c1,7-hydroxy-4-(aminomethyl)-coumarin (HAMC),NCc1cc(=O)oc2cc(O)ccc12,4-(Aminomethyl)-7-methoxycoumarin
Nitrosodiethylamine,CCN(CC)N=O,N-Nitrosomonoethylamine,CCN=NO,Nitrosodiethylamine
N-Nitrosodimethylamine,CN(C)N=O,N-Nitroso-N-methyl-N-hydroxymethylamine,CN(CO)N=O,N-Nitrosodimethylamine
N-Nitrosodimethylamine,CN(C)N=O,N-Nitrosomethylamine,CN=NO,N-Nitrosodimethylamine
NNK,CN(CCCC(=O)c1cccnc1)N=O,,O=NN(CO)CCCC(=O)c1cccnc1,NNK
DEET,CCN(CC)C(=O)c1cccc(C)c1,"N,N-diethyl-m-hydroxymethylbenzamide",CCN(CC)C(=O)c1cccc(CO)c1,DEET
DEET,CCN(CC)C(=O)c1cccc(C)c1,,CCN(CCO)C(=O)c1cccc(C)c1,DEET
"dibenzo(a,h)anthracene",c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,"dibenzo(a,h)anthracene 1,2-epoxide",C1=CC2OC2c2c1ccc1cc3c(ccc4ccccc43)cc21,"dibenzo(a,h)anthracene"
"dibenzo(a,h)anthracene",c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,"dibenzo(a,h)anthracene 3,4-epoxide",C1=Cc2ccc3cc4c5c(ccc4cc3c2CC1)C1OC1C=C5,"dibenzo(a,h)anthracene"
Alvameline,CCn1nnc(C2=CCCN(C)C2)n1,,CCn1nnc(C2=CCCNC2)n1,Alvameline
Alvameline,CCn1nnc(C2=CCCN(C)C2)n1,,CCn1nnc(C2=CCC[N+](C)([O-])C2)n1,Alvameline
Alvameline,CCn1nnc(C2=CCCN(C)C2)n1,,CN1CCC=C(c2nn[nH]n2)C1,Alvameline
Alvameline,CCn1nnc(C2=CCCN(C)C2)n1,,CCn1nnc(C2=CCC=[N+](C)C2)n1,Alvameline
O-isopropyl acetaminophen,CC(O)=Nc1ccc(OC(C)C)cc1,Acetaminophen,CC(O)=Nc1ccc(O)cc1,O-isopropyl acetaminophen
O-isopropyl acetaminophen,CC(O)=Nc1ccc(OC(C)C)cc1,,COc1ccc(N=CO)cc1,O-isopropyl acetaminophen
p-Methoxyacetanilide,COc1ccc(N=C(C)O)cc1,"p-Methoxyacetanilide, O-demethyl-",CC(O)=Nc1ccc(O)cc1,p-Methoxyacetanilide
Terbutryn,CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,,CCN=c1nc(NC(C)(C)C)[nH]c(S(C)=O)n1,Terbutryn
Terbutryn,CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,,CSc1nc(=NC(C)O)nc(NC(C)(C)C)[nH]1,Terbutryn
Terbutryn,CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,,CCN=c1nc(NC(C)(C)CO)[nH]c(SC)n1,Terbutryn
MNAN,CCCCCN(C)N=O,,CCCCCN(CO)N=O,MNAN
MNAN,CCCCCN(C)N=O,,CC(O)CCCN(C)N=O,MNAN
NDPA,CCCN(CCC)N=O,Alpha-OH NDPA,CCCN(N=O)C(O)CC,NDPA
NDPA,CCCN(CCC)N=O,Dipropylimine,CCCNCCC,NDPA
NPYR,O=NN1CCCC1,,O=NN1CCCC1O,NPYR
butadiene,C=CC=C,butadiene_monoxide,C=CC1CO1,butadiene
butadiene,C=CC=C,3-buten-2-one,C=CC(C)=O,butadiene
RP73401,COc1ccc(C(=O)N=c2c(Cl)c[nH]cc2Cl)cc1OC1CCCC1,,COc1ccc(C(=O)N=c2c(Cl)c[nH]cc2Cl)cc1OC1CCC(O)C1,RP73401
sulfinpyrazone_sulfide,O=C1C(CCSc2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,Sulfinpyrazone,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,sulfinpyrazone_sulfide
sulfinpyrazone_sulfide,O=C1C(CCSc2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccc(O)cc2)N1c1ccccc1,sulfinpyrazone_sulfide
sulfinpyrazone_sulfide,O=C1C(CCSc2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,,O=C1C(CCS(=O)c2ccc(O)cc2)C(=O)N(c2ccccc2)N1c1ccccc1,sulfinpyrazone_sulfide
Proguanil,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,Cycloguanil,CC1(C)NC(=N)NC(=N)N1c1ccc(Cl)cc1,Proguanil
Proguanil,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,4-Chlorophenylbiguanide,N=C(N)NC(=N)Nc1ccc(Cl)cc1,Proguanil
4_nitro_phenol,O=[N+]([O-])c1ccc(O)cc1,4-nitrocatechol (4NC) ,O=[N+]([O-])c1ccc(O)c(O)c1,4_nitro_phenol
"7,8-Dihydrobenzo[a]pyrene-7,8-diol",OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1O,,OC1c2cc3ccc4cccc5ccc(c2C2OC2C1O)c3c45,"7,8-Dihydrobenzo[a]pyrene-7,8-diol"
Furametpyr,Cc1nn(C)c(Cl)c1C(O)=Nc1cccc2c1C(C)OC2(C)C,,Cc1[nH]nc(Cl)c1C(O)=Nc1cccc2c1C(C)OC2(C)C,Furametpyr
Bioresmethrin,CC(C)=C[C@@H]1[C@@H](C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,BFA,OCc1coc(Cc2ccccc2)c1,Bioresmethrin
TRANS-PERMETHRIN,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,(3-Phenoxyphenyl)methanol,OCc1cccc(Oc2ccccc2)c1,TRANS-PERMETHRIN
LOSIGAMONE,COC1=CC(=O)OC1C(O)c1ccccc1Cl,,COC1=CC(=O)OC1C(O)c1ccc(O)cc1Cl,LOSIGAMONE
LOSIGAMONE,COC1=CC(=O)OC1C(O)c1ccccc1Cl,,COC1=CC(=O)OC1C(O)c1cc(O)ccc1Cl,LOSIGAMONE
Promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,,CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C,Promethazine
Promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,,CNC(C)CN1c2ccccc2Sc2ccccc21,Promethazine
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,Norverapamil,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,Verapamil
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,D-702,COc1cc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)ccc1O,Verapamil
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,M9 (D-703),COc1cc(C(C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O,Verapamil
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,D-617,CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,Verapamil
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"2-(3,4-dimethoxyphenyl)acetaldehyde",COc1ccc(CC=O)cc1OC,Verapamil
METALAXYL,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,,COC(=O)C(C)N(C(=O)CO)c1c(C)cccc1C,METALAXYL
METALAXYL,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)O,METALAXYL
METALAXYL,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,,COCC(=O)N(c1c(C)ccc(O)c1C)C(C)C(=O)OC,METALAXYL
METALAXYL,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,,COCC(=O)N(c1c(C)cccc1CO)C(C)C(=O)OC,METALAXYL
demethylmetalaxyl,COC(=O)C(C)N(C(=O)CO)c1c(C)cccc1C,,Cc1cccc(C)c1N(C(=O)CO)C(C)C(=O)O,demethylmetalaxyl
L-775606,Fc1cccc(CCN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,,OC(CN1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1cccc(F)c1,L-775606
L-775606,Fc1cccc(CCN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,,c1cc2[nH]cc(CCCN3CCNCC3)c2cc1-n1cnnc1,L-775606
Bufuralol,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,4-Hydroxybufuralol,CCc1ccc(O)c2cc(C(O)CNC(C)(C)C)oc12,Bufuralol
Bufuralol,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,6-Hydroxubufuralol,CCc1c(O)ccc2cc(C(O)CNC(C)(C)C)oc12,Bufuralol
Bufuralol,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,1'2'-Ethenylbufuralol,C=Cc1cccc2cc(C(O)CNC(C)(C)C)oc12,Bufuralol
Deltamethrin,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,4'-OH-deltamethrin,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccc(O)cc3)c2)[C@@H]1C=C(Br)Br,Deltamethrin
(1S)-trans-Cyfluthrin,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)OC(C#N)c1ccc(F)c(Oc2ccc(O)cc2)c1,(1S)-trans-Cyfluthrin
Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,6-hydroxy-bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)C(O)CC2(C)C,Bexarotene
Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,7-hydroxy-bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CC(O)C2(C)C,Bexarotene
Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,7-oxo-bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)C(=O)CC2(C)C,Bexarotene
Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,7-oxo-bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CC(=O)C2(C)C,Bexarotene
Dolasetron,O=C(O[C@H]1C[C@@H]2C[C@@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,Reduced dolasetron,O=C(O[C@H]1C[C@@H]2C[C@@H]3C[C@H](C1)N2CC3O)c1c[nH]c2ccccc12,Dolasetron
Halothane ,FC(F)(F)C(Cl)Br,Trifluoroacetyl chloride,O=C(Cl)C(F)(F)F,Halothane 
Halothane ,FC(F)(F)C(Cl)Br,chlorotrifluoroethane,FC(F)(F)CCl,Halothane 
Halothane ,FC(F)(F)C(Cl)Br,chlorodifluoroethene,FC(F)=CCl,Halothane 
delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,11-OH-delata-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(CO)=C[C@@H]21,delta-9-Tetrahydrocannabinol
delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,7-OH-delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1[C@@H](O)CC(C)=C[C@@H]21,delta-9-Tetrahydrocannabinol
delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,7alpha-OH-delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1[C@H](O)CC(C)=C[C@@H]21,delta-9-Tetrahydrocannabinol
delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,8-OH-delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC(O)C(C)=C[C@@H]21,delta-9-Tetrahydrocannabinol
delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,8alpha-OH-delta-9-Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1C[C@@H](O)C(C)=C[C@@H]21,delta-9-Tetrahydrocannabinol
S-Bioallethrin,C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,,C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(/C)CO)C2(C)C)CC1=O,S-Bioallethrin
Droloxifene,CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,,CC/C(=C(/c1ccc(OCCNC)cc1)c1cccc(O)c1)c1ccccc1,Droloxifene
VINYL CHLORIDE,C=CCl,,ClC1CO1,VINYL CHLORIDE
Artesunate,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,,C[C@H]1[C@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,Artesunate
Rupatadine,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,Rupatadine
RL-3142,CN(C)c1ccc(/C=C/C(=O)c2ccc(-n3ccnc3)cc2)cc1,,CNc1ccc(/C=C/C(=O)c2ccc(-n3ccnc3)cc2)cc1,RL-3142
Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,2Ã¢â‚¬Â({4Ã¢â‚¬Â[(3Ã¢â‚¬Âethynylphenyl)amino]Ã¢â‚¬Â6Ã¢â‚¬Â(2Ã¢â‚¬Âmethoxyethoxy)quinazolinÃ¢â‚¬Â7Ã¢â‚¬Âyl}oxy)ethanÃ¢â‚¬Â1Ã¢â‚¬Âol,C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1,Erlotinib
zafirlukast,COc1cc(C(O)=NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(N=C(O)OC3CCCC3)cc12,cyclopentyl NÃ¢â‚¬Â[1Ã¢â‚¬Â(hydroxymethyl)Ã¢â‚¬Â3Ã¢â‚¬Â({2Ã¢â‚¬ÂmethoxyÃ¢â‚¬Â4Ã¢â‚¬Â[(2Ã¢â‚¬Âmethylbenzenesulfonyl)carbamoyl]phenyl}methyl)indolÃ¢â‚¬Â5Ã¢â‚¬Âyl]carbamate,COc1cc(C(O)=NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(CO)c2ccc(N=C(O)OC3CCCC3)cc12,zafirlukast
zafirlukast,COc1cc(C(O)=NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(N=C(O)OC3CCCC3)cc12,3Ã¢â‚¬Âhydroxycyclopentyl NÃ¢â‚¬Â[3Ã¢â‚¬Â({2Ã¢â‚¬ÂmethoxyÃ¢â‚¬Â4Ã¢â‚¬Â[(2Ã¢â‚¬Âmethylbenzenesulfonyl)carbamoyl]phenyl}methyl)Ã¢â‚¬Â1Ã¢â‚¬ÂmethylindolÃ¢â‚¬Â5Ã¢â‚¬Âyl]carbamate,COc1cc(C(O)=NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(N=C(O)OC3CCC(O)C3)cc12,zafirlukast
zaleplon,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,Dementhylazed-zaleplon,CC(O)=Nc1cccc(-c2ccnc3c(C#N)cnn23)c1,zaleplon
zatosetron,CN1[C@@H]2CC[C@H]1CC(N=C(O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,,CC1(C)Cc2cc(Cl)cc(C(O)=NC3CC4CCC(C3)N4)c2O1,zatosetron
zatosetron,CN1[C@@H]2CC[C@H]1CC(N=C(O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,,CC1(C)Cc2cc(Cl)cc(C(O)=NC3CC4CCC(C3)[N+]4(C)[O-])c2O1,zatosetron
zatosetron,CN1[C@@H]2CC[C@H]1CC(N=C(O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,,CN1C2CCC1CC(N=C(O)c1cc(Cl)cc3c1OC(C)(C)C3O)C2,zatosetron
zinc02949712,CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,HFC(7-hydroxy-4-trifluoromethylcoumarin),O=c1cc(C(F)(F)F)c2ccc(O)cc2o1,zinc02949712
zinc03978059,C[C@]12CCC(=O)C=C1CC[C@H]1[C@H]2[C@@H](O)C[C@@]2(C)[C@@H]1CC[C@]2(O)C(=O)CO,free cortisol,CC12CCC(=O)C=C1C(O)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,zinc03978059
zinc15020070,COc1ccc2c(c1)Oc1cc(O)ccc1[C@@]21OC(=O)c2ccccc21,,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,zinc15020070
zinc1698316,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccc(O)cc45)C3CC21,zinc1698316
zinc1698316,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5cc(O)ccc45)C3CC21,zinc1698316
zinc188,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,S-oxide cyamemazine,CC(CN(C)C)CN1c2ccccc2S(=O)c2ccc(C#N)cc21,zinc188
zinc188,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,N-demethyl-cyamemazine,CNCC(C)CN1c2ccccc2Sc2ccc(C#N)cc21,zinc188
zinc21985223,CN(C)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)/C=C/CO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,,CNc1ccc(C2CC3(C)C(CCC3(O)/C=C/CO)C3CCC4=CC(=O)CCC4=C23)cc1,zinc21985223
zinc33952402,Cc1ccc(C(=O)[C@@H](C)N2CCCC2)cc1,HO-MPPP,CC(C(=O)c1ccc(CO)cc1)N1CCCC1,zinc33952402
zinc33952517,C[C@H](C(=O)c1ccc2c(c1)OCO2)N1CCCC1,di-HO-MDPPP,CC(C(=O)c1ccc(O)c(O)c1)N1CCCC1,zinc33952517
zinc36377943,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,6beta - HYDROXYBUDESONIDE,CCCC1OC2CC3C4CC(O)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,zinc36377943
zinc36377943,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,6beta - HYDROXYBUDESONIDE,CCCC(O)OC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)CO,zinc36377943
zinc38309998,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H](O)C[C@@H](O)CC(=O)O)[C@H]21,,C=C1C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C2C(OC(=O)C(C)(C)CC)C1,zinc38309998
zinc38309998,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H](O)C[C@@H](O)CC(=O)O)[C@H]21,,CCC(C)(C)C(=O)OC1CC(C)C(O)=C2C=C(O)C(C)C(CCC(O)CC(O)CC(=O)O)C21,zinc38309998
zinc38309998,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H](O)C[C@@H](O)CC(=O)O)[C@H]21,,CCC(C)(C)C(=O)OC1CC(C)(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,zinc38309998
zinc40442723,O=C1C=C2CN([C@@H](C(=O)C3CC3)c3ccccc3F)CC[C@H]2S1,,O=C/C=C1/CN([C@@H](C(=O)C2CC2)c2ccccc2F)CC[C@H]1S,zinc40442723
zinc4556587,CC[C@@H]1C[C@H]2C[C@@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@H]13,12-hydroxyibogamine,CCC1CC2CC3c4[nH]c5ccc(O)cc5c4CCN(C2)C13,zinc4556587
zinc8660420,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(O)cc4C2C3=O)O1,zinc8660420
zinc8660420,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2(O)C3=O)O1,zinc8660420
zinc8660420,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,,C=C(CO)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2(O)C3=O)O1,zinc8660420
